iso3c,country_name,idea_country_name,idea_iso3,lower_quota_type,voluntary_details,quota_voluntary_party,quota_legislated_candidate,quota_reserved_seats,quota_strength_ordinal,has_any_quota,quota_match_status,source_file
FRA,France,France,FRA,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
GAB,Gabon,Gabon,GAB,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
GBR,United Kingdom,United Kingdom,GBR,-,Yes,1,0,0,1,1,matched,export_table.csv
GEO,Georgia,,,,,0,0,0,0,0,manual_review_needed,
GHA,Ghana,,,,,0,0,0,0,0,manual_review_needed,
GIN,Guinea,Guinea,GIN,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
GMB,The Gambia,,,,,0,0,0,0,0,manual_review_needed,
GNB,Guinea-Bissau,Guinea-Bissau,GNB,Legislated Candidate Quotas,-,0,1,0,2,1,matched,export_table.csv
GNQ,Equatorial Guinea,Equatorial Guinea,GNQ,-,Yes,1,0,0,1,1,matched,export_table.csv
GRC,Greece,Greece,GRC,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
GTM,Guatemala,Guatemala,GTM,-,Yes,1,0,0,1,1,matched,export_table.csv
GUY,Guyana,,,,,0,0,0,0,0,manual_review_needed,
HKG,Hong Kong,,,,,0,0,0,0,0,manual_review_needed,
HND,Honduras,Honduras,HND,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
HRV,Croatia,Croatia,HRV,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
HTI,Haiti,,,,,0,0,0,0,0,manual_review_needed,
HUN,Hungary,Hungary,HUN,-,Yes,1,0,0,1,1,matched,export_table.csv
IDN,Indonesia,Indonesia,IDN,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
IND,India,India,IND,Reserved seats,No,0,0,1,3,1,matched,export_table.csv
IRL,Ireland,Ireland,IRL,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
IRN,Iran,,,,,0,0,0,0,0,manual_review_needed,
IRQ,Iraq,Iraq,IRQ,Reserved seats,No,0,0,1,3,1,matched,export_table.csv
ISL,Iceland,Iceland,ISL,-,Yes,1,0,0,1,1,matched,export_table.csv
ISR,Israel,Israel,ISR,-,Yes,1,0,0,1,1,matched,export_table.csv
